date,code,shares,source
2026-01-27,510300,57532987699.99999,sse
2026-01-27,510310,41232344000.0,sse
2026-01-27,510330,26060649800.0,sse
2026-01-27,510500,15058168600.000002,sse
2026-01-27,512100,12753217600.0,sse
2026-01-27,588000,50281168200.0,sse
2026-01-27,588080,28525628100.0,sse
2026-01-28,510050,28257966800.0,sse
2026-01-28,510300,51504787699.99999,sse
2026-01-28,510310,34965644000.0,sse
2026-01-28,510330,20989149800.0,sse
2026-01-28,510500,14031768600.000002,sse
2026-01-28,512100,11059217600.0,sse
2026-01-28,588000,49925668200.0,sse
2026-01-28,588080,28675628100.0,sse
2026-01-29,510050,25926966800.0,sse
2026-01-29,510300,49260187699.99999,sse
2026-01-29,510310,33000944000.0,sse
2026-01-29,510330,19660749800.0,sse
2026-01-29,510500,13360568600.000002,sse
2026-01-29,512100,10651217600.0,sse
2026-01-29,588000,50704168200.0,sse
2026-01-29,588080,28888628100.0,sse
2026-01-30,510050,25556166800.0,sse
2026-01-30,510300,48687787699.99999,sse
2026-01-30,510310,32475344000.0,sse
2026-01-30,510330,19430349800.0,sse
2026-01-30,510500,12606568600.000002,sse
2026-01-30,512100,10711217600.0,sse
2026-01-30,588000,50393668200.0,sse
2026-01-30,588080,28819628100.0,sse
2026-02-02,510050,25177266800.0,sse
2026-02-02,510300,47506987699.99999,sse
2026-02-02,510310,32368244000.0,sse
2026-02-02,510330,19226949800.0,sse
2026-02-02,510500,11160568600.000002,sse
2026-02-02,512100,10223217600.0,sse
2026-02-02,588000,50704168200.0,sse
2026-02-02,588080,28906628100.0,sse
2026-02-03,510050,25217766800.0,sse
2026-02-03,510300,47543887699.99999,sse
2026-02-03,510310,32525744000.0,sse
2026-02-03,510330,19350249800.0,sse
2026-02-03,510500,11590968600.000002,sse
2026-02-03,512100,10431217600.0,sse
2026-02-03,588000,51199168200.0,sse
2026-02-03,588080,29095628100.0,sse
2026-02-04,510050,24993666800.0,sse
2026-02-04,510300,46987687699.99999,sse
2026-02-04,510310,32446544000.0,sse
2026-02-04,510330,19331349800.0,sse
2026-02-04,510500,11391368600.000002,sse
2026-02-04,512100,9983217600.0,sse
2026-02-04,588000,51797668200.0,sse
2026-02-04,588080,29212628100.0,sse
2026-02-05,510050,25128666800.0,sse
2026-02-05,510300,47227987699.99999,sse
2026-02-05,510310,32514044000.0,sse
2026-02-05,510330,19344849800.0,sse
2026-02-05,510500,11008168600.000002,sse
2026-02-05,512100,9887217600.0,sse
2026-02-05,588000,52112668200.0,sse
2026-02-05,588080,29371628100.0,sse
2026-02-06,510050,25022466800.0,sse
2026-02-06,510300,47461087699.99999,sse
2026-02-06,510310,32568944000.0,sse
2026-02-06,510330,19351149800.0,sse
2026-02-06,510500,11282568600.000002,sse
2026-02-06,512100,10051217600.0,sse
2026-02-06,588000,52382668200.0,sse
2026-02-06,588080,29464628100.0,sse
2026-02-09,510050,24759666800.0,sse
2026-02-09,510300,47458387699.99999,sse
2026-02-09,510310,32569844000.0,sse
2026-02-09,510330,19358349800.0,sse
2026-02-09,510500,11565368600.000002,sse
2026-02-09,512100,10545217600.0,sse
2026-02-09,588000,51865168200.0,sse
2026-02-09,588080,29317628100.0,sse
2026-02-10,510050,24513966800.0,sse
2026-02-10,510300,47128987699.99999,sse
2026-02-10,510310,32469044000.0,sse
2026-02-10,510330,19349349800.0,sse
2026-02-10,510500,11394968600.000002,sse
2026-02-10,512100,10437217600.0,sse
2026-02-10,588000,51347668200.0,sse
2026-02-10,588080,29200628100.0,sse
2026-02-11,510050,24363666800.0,sse
2026-02-11,510300,47025487699.99999,sse
2026-02-11,510310,32410544000.0,sse
2026-02-11,510330,19350249800.0,sse
2026-02-11,510500,11439368600.000002,sse
2026-02-11,512100,10591217600.0,sse
2026-02-11,588000,51451168200.0,sse
2026-02-11,588080,29173628100.0,sse
2026-02-12,510050,24387066800.0,sse
2026-02-12,510300,46940887699.99999,sse
2026-02-12,510310,32373644000.0,sse
2026-02-12,510330,19335849800.0,sse
2026-02-12,510500,11571768600.000002,sse
2026-02-12,512100,10837217600.0,sse
2026-02-12,588000,50906668200.0,sse
2026-02-12,588080,29041628100.0,sse
2026-02-13,510050,23895666800.0,sse
2026-02-13,510300,46123687699.99999,sse
2026-02-13,510310,32201744000.0,sse
2026-02-13,510330,19284549800.0,sse
2026-02-13,510500,10898968600.000002,sse
2026-02-13,512100,10151217600.0,sse
