date,close,dd,qvix,breadth,rsi,boll_z,turnover,margin,fear,value,composite,nt_intensity,nt_etf_flow,composite_final,multiplier_final
2026-05-07,4900.51,0.0,16.99,46.5035,71.1213,1.6367,1.3995,7.9456,25.8143,59.5314,49.4163,0.0,-24435322000.0,49.4163,1.0
2026-05-08,4871.91,-0.5836,20.09,46.5035,66.6521,1.4041,1.4447,8.4055,30.3356,60.2904,51.3039,0.0,-20329631100.0,51.3039,1.0
2026-05-11,4951.84,0.0,19.62,50.3497,71.9561,2.0372,1.5304,8.912,25.0094,58.9728,48.7838,0.0,-24588978500.0,48.7838,1.0
2026-05-12,4948.05,-0.0765,20.54,47.9021,71.3764,1.869,1.5727,9.2525,26.9974,59.2749,49.5917,0.0,-13568589900.0,49.5917,1.0
2026-05-13,4998.34,0.0,20.0,48.6014,74.3314,2.1262,1.5674,9.915,24.7772,58.8412,48.622,0.0,-8389799200.0,48.622,1.0
2026-05-14,4914.6,-1.6754,19.27,45.4545,62.7201,1.1202,1.5813,9.588,30.9165,60.8852,51.8946,0.0,-10972158400.0,51.8946,1.0
2026-05-15,4859.59,-2.7759,19.5,44.5993,56.4786,0.4153,1.6031,8.6871,34.5911,62.247,53.9502,1.4114,931198500.0,53.9502,1.0
2026-05-18,4833.52,-3.2975,19.09,43.554,53.7488,0.0144,1.5367,8.8633,36.3774,62.9561,54.9825,0.0,-2939325500.0,54.9825,1.0
2026-05-19,4852.88,-2.9102,18.84,44.9477,55.4701,0.1987,1.4986,8.6136,35.0646,62.5459,54.3015,0.0,-13570810500.0,54.3015,1.0
2026-05-20,4850.7,-2.9538,18.39,42.5087,55.2209,0.0919,1.4667,8.7662,35.8102,62.9599,54.815,0.0,-13742696300.0,54.815,1.0
2026-05-21,4783.1,-4.3062,18.79,40.0697,48.0168,-0.9203,1.4716,7.2722,41.6744,64.8717,57.9125,0.0,-5822559300.0,57.9125,1.0
2026-05-22,4845.1,-3.0658,18.41,41.8118,53.9506,-0.0666,1.4256,7.1239,37.8357,63.3533,55.698,0.0,-5955492600.0,55.698,1.0
2026-05-25,4921.6,-1.5353,18.78,41.4634,60.0153,0.9959,1.4498,7.5203,33.7631,61.4536,53.1465,0.0,-28903490200.0,53.1465,1.0
2026-05-26,4947.85,-1.0101,19.51,42.1603,61.8709,1.2529,1.478,7.6407,32.7279,60.7423,52.338,0.0,-6454942900.0,52.338,1.0
2026-05-27,4908.17,-1.804,20.27,39.7213,57.525,0.5853,1.4988,8.2415,36.4239,62.3554,54.5759,0.0,-3666681700.0,54.5759,1.0
2026-05-28,4914.21,-1.6832,19.24,39.0244,58.0085,0.6018,1.4458,7.8303,36.0259,62.3893,54.4803,0.0,-1277425700.0,54.4803,1.0
2026-05-29,4892.12,-2.1251,20.14,38.676,55.5193,0.142,1.4783,6.7292,39.4672,62.7987,55.7992,5.5394,3830551300.0,55.7992,1.0
2026-06-01,4844.26,-3.0826,19.78,37.9791,50.4664,-0.8021,1.4434,6.3016,43.4346,63.7806,57.6768,13.5136,9341227400.0,57.6768,1.0
2026-06-02,4914.56,-1.6762,19.22,40.7666,56.7001,0.4681,1.3976,7.0174,37.3091,61.8027,54.4546,2.3256,1645372200.0,54.4546,1.0
2026-06-03,4938.81,-1.191,19.4,38.676,58.634,0.8812,1.3825,5.7175,37.9416,61.2386,54.2495,0.0,-8262184800.0,54.2495,1.0
2026-06-04,4904.75,-1.8724,19.17,36.2369,54.9236,0.1982,1.3593,4.8207,41.8881,62.6597,56.4282,0.0,-4798143200.0,56.4282,1.0
2026-06-05,4816.92,-3.6296,19.24,36.5854,46.7143,-1.4219,1.3314,3.716,49.226,64.652,60.0242,0.0,-454561500.0,60.0242,1.5
2026-06-08,4713.64,-5.6959,21.08,31.7073,39.2795,-2.6122,1.3194,1.753,60.0173,66.9426,64.865,30.7996,12017563000.0,64.865,1.5
2026-06-09,4801.81,-3.9319,19.5,33.7979,47.0302,-1.1111,1.3017,1.2834,51.7175,64.7479,60.8388,0.0,-9318068500.0,60.8388,1.5
2026-06-10,4748.59,-4.9967,19.24,32.7526,43.4269,-1.7863,1.2522,0.1797,56.1136,65.776,62.8773,0.0,-1048500200.0,62.8773,1.5
2026-06-11,4722.41,-5.5204,19.98,32.4042,41.733,-1.8868,1.2305,-0.3249,58.3284,66.4593,64.02,3.9855,2887086700.0,64.02,1.5
2026-06-12,4777.32,-4.4219,18.78,34.1463,46.4508,-0.9926,1.239,-0.135,52.5066,64.5939,60.9677,1.9401,1408568400.0,60.9677,1.5
2026-06-15,4891.71,-2.1333,19.6,35.8885,54.6828,0.5991,1.2562,0.1558,46.7186,60.4292,56.316,0.0,-5443064000.0,56.316,1.0
2026-06-16,4884.23,-2.283,20.01,33.7979,54.0972,0.4679,1.29,0.897,47.1843,61.4024,57.137,0.0,-9658768300.0,57.137,1.0
2026-06-17,4931.39,-1.3394,21.12,33.3333,57.2088,1.0454,1.3275,1.6419,45.0664,60.6263,55.9583,0.0,-14615232900.0,55.9583,1.0
2026-06-18,4941.6,-1.1352,21.7,30.7958,57.8746,1.0715,1.3898,2.383,44.7918,61.1099,56.2145,0.0,-9358426600.0,56.2145,1.0
2026-06-22,5059.66,0.0,22.88,34.2561,64.7116,2.1944,1.4301,3.2879,38.2072,58.3358,52.2972,0.0,-6157535000.0,52.2972,1.0
2026-06-23,4919.39,-2.7723,23.18,31.1419,53.5839,0.5401,1.4606,2.5986,47.5262,61.7548,57.4862,11.2633,-21684200400.0,57.4862,1.0
2026-06-24,4943.02,-2.3053,22.75,31.1419,54.9881,0.8242,1.4746,2.8109,45.87,61.6664,56.9275,0.0,-24920208900.0,56.9275,1.0
2026-06-25,5020.1,-0.7819,21.6,29.7578,59.3122,1.5662,1.513,3.268,41.4129,60.3211,54.6487,0.0,-31458065700.0,54.6487,1.0
2026-06-26,4868.22,-3.7837,23.18,26.6436,49.2688,-0.0948,1.5278,2.3581,51.0916,64.82,60.7015,2.0203,-1089197600.0,60.7015,1.5
2026-06-29,4926.92,-2.6235,21.7,27.4306,52.6089,0.5363,1.5028,3.1107,46.8083,63.2797,58.3383,0.0,-11909252800.0,58.3383,1.0
2026-06-30,4979.43,-1.5857,22.88,29.8611,55.4354,1.0177,1.483,3.9422,44.6262,62.3602,57.04,0.0,-17502429300.0,57.04,1.0
2026-07-01,4958.98,-1.9899,22.75,30.2083,54.0826,0.7629,1.5091,4.2388,44.9249,62.4375,57.1837,0.0,-3875117700.0,57.1837,1.0
2026-07-02,4812.3,-4.8889,22.88,27.7778,45.5046,-0.7293,1.4907,3.7067,51.8959,66.1859,61.8989,12.1297,6625086400.0,61.8989,1.5
2026-07-03,4842.17,-4.2985,23.18,29.1667,47.3364,-0.3788,1.454,2.7941,51.6268,65.0715,61.0381,0.0,-14727159400.0,61.0381,1.5
2026-07-06,4842.0,-4.3019,20.29,29.1667,47.3267,-0.3966,1.4136,2.9261,49.5363,64.6647,60.1262,0.6022,474145700.0,60.1262,1.5
2026-07-07,4792.26,-5.2849,22.29,26.3889,44.4422,-1.0288,1.3526,3.308,54.1778,65.8544,62.3514,6.0766,4769511400.0,62.3514,1.5
2026-07-08,4755.53,-6.0109,21.86,27.0833,42.3877,-1.3767,1.2576,2.5097,56.6924,66.482,63.5451,18.3867,5567842600.0,63.5451,1.5
2026-07-09,4876.31,-3.6238,21.74,27.4306,50.4925,-0.1274,1.2094,2.6656,51.4983,63.4445,59.8606,2.9045,2278075400.0,59.8606,1.0
2026-07-10,4780.79,-5.5116,21.09,29.4118,45.09,-1.3491,1.2229,2.4571,54.9732,65.7264,62.5004,0.0,-2439340200.0,62.5004,1.5
2026-07-13,4695.38,-7.1997,23.15,27.6817,40.8783,-2.1568,1.1972,1.2906,62.133,67.562,65.9333,27.1446,22027929100.0,65.9333,1.5
2026-07-14,4796.5,-5.2011,21.5,29.0657,47.17,-0.9369,1.2048,0.0606,56.0407,64.5998,62.0321,9.0967,7764245400.0,62.0321,1.5
2026-07-15,4786.78,-5.3932,21.25,30.0,46.6561,-0.9659,1.2029,-1.2587,57.0428,64.5855,62.3227,3.3214,2874157200.0,62.3227,1.5
2026-07-16,4698.43,-7.1394,22.69,29.3103,42.1593,-1.6708,1.1584,-3.1838,63.7869,67.373,66.2972,20.9917,18243169300.0,66.2972,1.5
2026-07-17,4529.1,-10.4861,23.75,26.8966,35.1641,-2.5874,1.0945,-6.3262,73.7772,71.7892,72.3856,63.2906,25034320600.0,72.3856,2.0
2026-07-20,4598.32,-9.118,24.06,31.0345,39.5777,-1.8192,1.0826,-9.2528,70.6291,68.3958,69.0658,72.4303,34048538600.0,69.0658,2.0
2026-07-21,4739.23,-6.333,21.81,31.3793,47.4238,-0.5996,1.101,-9.4364,63.1812,65.1264,64.5428,0.0,-960699800.0,64.5428,2.0
2026-07-22,4717.24,-6.7676,20.21,34.4828,46.4109,-0.7004,1.1057,-9.8256,61.5313,65.4323,64.262,0.0,-12491961000.0,64.262,2.0
2026-07-23,4728.0,-6.555,19.78,36.8966,47.0073,-0.5339,1.0876,-10.6748,60.1041,64.8746,63.4435,4.6337,4922364800.0,63.4435,2.0
2026-07-24,4649.19,-8.1126,19.95,33.1034,43.2139,-1.1338,1.027,-10.8021,64.1859,67.3849,66.4252,15.3538,-1154917500.0,66.4252,2.0
2026-07-27,4702.43,-7.0604,20.23,33.4483,46.3629,-0.5781,0.9746,-10.2056,62.5437,65.9553,64.9318,9.6264,10250061300.0,64.9318,1.5
