profile,value_axis,fear_axis_weight,nt_mode,full_excess_irr,full_cost_vs_plain,full_avg_mult,first_half_excess_irr,first_half_cost_vs_plain,first_half_avg_mult,second_half_excess_irr,second_half_cost_vs_plain,second_half_avg_mult,robust
heavy_breadth,dd_only,0.3,parallel,0.11,-1.82,1.159,0.19,-0.81,1.222,0.15,-0.6,1.096,0.15
heavy_breadth,dd_only,0.4,observe,0.13,-1.96,1.264,0.27,-0.89,1.333,0.2,-0.79,1.194,0.2
heavy_breadth,dd_only,0.4,confirm,0.13,-1.88,1.269,0.25,-0.83,1.336,0.22,-0.81,1.203,0.22
heavy_breadth,dd_only,0.4,parallel,0.1,-1.65,1.139,0.18,-0.67,1.196,0.14,-0.56,1.081,0.14
heavy_breadth,dd_only,0.5,observe,0.13,-1.87,1.225,0.27,-0.77,1.292,0.21,-0.77,1.159,0.21
heavy_breadth,dd_only,0.5,confirm,0.13,-1.79,1.231,0.25,-0.72,1.295,0.22,-0.8,1.167,0.22
heavy_breadth,dd_only,0.5,parallel,0.08,-1.4,1.119,0.15,-0.42,1.171,0.14,-0.53,1.067,0.14
heavy_breadth,dd_only,0.6,observe,0.13,-1.8,1.193,0.27,-0.77,1.254,0.21,-0.75,1.131,0.21
heavy_breadth,dd_only,0.6,confirm,0.13,-1.73,1.198,0.26,-0.73,1.256,0.23,-0.78,1.14,0.23
heavy_breadth,dd_only,0.6,parallel,0.07,-1.21,1.102,0.14,-0.28,1.149,0.13,-0.47,1.055,0.13
heavy_breadth,dd70_erp30,0.3,observe,0.24,-2.59,1.314,0.45,-2.28,1.359,0.42,-1.3,1.269,0.42
heavy_breadth,dd70_erp30,0.3,confirm,0.24,-2.52,1.319,0.44,-2.23,1.362,0.42,-1.3,1.276,0.42
heavy_breadth,dd70_erp30,0.3,parallel,0.18,-2.24,1.162,0.32,-1.67,1.212,0.28,-0.94,1.113,0.28
heavy_breadth,dd70_erp30,0.4,observe,0.22,-2.36,1.269,0.4,-1.96,1.313,0.38,-1.19,1.225,0.38
heavy_breadth,dd70_erp30,0.4,confirm,0.22,-2.29,1.274,0.39,-1.93,1.315,0.39,-1.2,1.233,0.39
heavy_breadth,dd70_erp30,0.4,parallel,0.15,-2.0,1.138,0.29,-1.36,1.187,0.23,-0.78,1.09,0.23
heavy_breadth,dd70_erp30,0.5,observe,0.2,-2.2,1.23,0.36,-1.63,1.277,0.35,-1.08,1.182,0.35
heavy_breadth,dd70_erp30,0.5,confirm,0.19,-2.13,1.235,0.35,-1.6,1.279,0.36,-1.11,1.191,0.35
heavy_breadth,dd70_erp30,0.5,parallel,0.14,-1.77,1.122,0.27,-1.12,1.167,0.2,-0.7,1.077,0.2
heavy_breadth,dd70_erp30,0.6,observe,0.17,-1.99,1.199,0.32,-1.35,1.247,0.3,-0.92,1.151,0.3
heavy_breadth,dd70_erp30,0.6,confirm,0.17,-1.93,1.203,0.32,-1.33,1.248,0.32,-0.95,1.159,0.32
heavy_breadth,dd70_erp30,0.6,parallel,0.11,-1.44,1.101,0.22,-0.8,1.141,0.16,-0.59,1.062,0.16
heavy_breadth,dd50_erp50,0.3,observe,0.31,-2.96,1.326,0.56,-3.18,1.356,0.52,-1.47,1.297,0.52
heavy_breadth,dd50_erp50,0.3,confirm,0.3,-2.9,1.33,0.55,-3.15,1.357,0.51,-1.45,1.303,0.51
heavy_breadth,dd50_erp50,0.3,parallel,0.23,-2.49,1.175,0.41,-2.28,1.212,0.37,-1.16,1.137,0.37
heavy_breadth,dd50_erp50,0.4,observe,0.27,-2.69,1.279,0.48,-2.69,1.311,0.48,-1.39,1.247,0.48
heavy_breadth,dd50_erp50,0.4,confirm,0.27,-2.63,1.283,0.48,-2.67,1.312,0.49,-1.39,1.254,0.48
heavy_breadth,dd50_erp50,0.4,parallel,0.19,-2.18,1.146,0.36,-1.83,1.185,0.29,-0.94,1.106,0.29
heavy_breadth,dd50_erp50,0.5,observe,0.24,-2.37,1.24,0.43,-2.22,1.273,0.42,-1.23,1.207,0.42
heavy_breadth,dd50_erp50,0.5,confirm,0.24,-2.31,1.244,0.43,-2.2,1.274,0.43,-1.25,1.215,0.43
heavy_breadth,dd50_erp50,0.5,parallel,0.16,-1.97,1.124,0.33,-1.53,1.164,0.23,-0.79,1.084,0.23
heavy_breadth,dd50_erp50,0.6,observe,0.2,-2.06,1.205,0.38,-1.74,1.24,0.35,-1.02,1.169,0.35
heavy_breadth,dd50_erp50,0.6,confirm,0.2,-2.0,1.209,0.38,-1.73,1.241,0.36,-1.05,1.177,0.36
heavy_breadth,dd50_erp50,0.6,parallel,0.13,-1.57,1.106,0.27,-1.08,1.141,0.2,-0.68,1.071,0.2
